food_name,category,calories,protein,carbs,fat,fiber,sugar,sodium,potassium,vitamin_c,calcium,iron,is_indian,region,cooking_method,spice_level,protein_ratio,fat_ratio,carb_ratio,health_score,diabetic_friendly,heart_friendly,weight_loss_friendly,muscle_gain_friendly,bmi_friendly_category
Kappa,Breakfast,160.0,2.0,36.0,4.0,4.0,2.0,240.0,520.0,25.0,30.0,8.0,True,South,Boil,Mild,0.048,0.095,0.857,60.6,False,True,True,False,moderate_density
Meen Curry,Non-Veg,190.0,23.0,5.0,9.0,1.0,1.0,680.0,440.0,20.0,55.0,28.0,True,South,Curry,Spicy,0.622,0.243,0.135,100.0,True,False,False,True,moderate_density
Meen Pollichathu,Non-Veg,210.0,25.0,4.0,11.0,1.0,1.0,620.0,460.0,18.0,48.0,22.0,True,South,Wrap,Spicy,0.625,0.275,0.1,100.0,True,False,False,True,moderate_density
Kozhi Curry,Non-Veg,250.0,28.0,3.0,14.0,0.0,1.0,590.0,410.0,15.0,42.0,20.0,True,South,Curry,Spicy,0.622,0.311,0.067,100.0,True,False,False,True,moderate_density
Egg Curry,Non-Veg,170.0,14.0,4.0,12.0,1.0,1.0,520.0,280.0,8.0,65.0,18.0,True,South,Curry,Medium,0.467,0.4,0.133,69.4,True,False,False,True,moderate_density
Avial,Veg,140.0,4.0,12.0,10.0,6.0,4.0,380.0,220.0,35.0,45.0,12.0,True,South,Steam,Mild,0.154,0.385,0.462,67.2,True,True,True,False,low_density
Kaalan,Veg,120.0,3.0,14.0,8.0,5.0,6.0,340.0,180.0,20.0,55.0,8.0,True,South,Simmer,Mild,0.12,0.32,0.56,54.6,False,True,True,False,low_density
Thoran,Veg,160.0,6.0,14.0,12.0,8.0,4.0,420.0,240.0,25.0,40.0,15.0,True,South,Sauté,Mild,0.187,0.375,0.437,78.8,True,False,True,False,moderate_density
Olan,Veg,100.0,2.0,12.0,6.0,4.0,5.0,280.0,160.0,15.0,35.0,6.0,True,South,Simmer,Mild,0.1,0.3,0.6,50.2,True,True,True,False,low_density
Erissery,Veg,150.0,5.0,14.0,10.0,7.0,3.0,360.0,200.0,30.0,50.0,18.0,True,South,Boil,Mild,0.172,0.345,0.483,76.4,True,True,True,False,moderate_density
Kootu Curry,Veg,180.0,8.0,16.0,12.0,9.0,4.0,440.0,260.0,40.0,60.0,25.0,True,South,Sauté,Mild,0.222,0.333,0.444,92.6,True,False,True,False,moderate_density
Inji Curry,Veg,80.0,1.0,10.0,4.0,2.0,8.0,420.0,120.0,8.0,25.0,4.0,True,South,Simmer,Spicy,0.067,0.267,0.667,30.4,False,False,True,False,low_density
Mango Pickle,Condiment,120.0,1.0,12.0,8.0,4.0,8.0,1800.0,80.0,25.0,15.0,8.0,True,South,Ferment,Spicy,0.048,0.381,0.571,26.0,False,False,True,False,low_density
Lemon Pickle,Condiment,100.0,1.0,14.0,6.0,3.0,10.0,1600.0,60.0,35.0,12.0,6.0,True,South,Ferment,Spicy,0.048,0.286,0.667,23.0,False,False,True,False,low_density
Puli Inji,Condiment,90.0,1.0,12.0,5.0,3.0,15.0,1400.0,90.0,20.0,18.0,5.0,True,South,Simmer,Spicy,0.056,0.278,0.667,13.0,False,False,True,False,low_density
Mutton Curry,Non-Veg,270.0,26.0,4.0,18.0,1.0,2.0,720.0,380.0,12.0,35.0,22.0,True,South,Curry,Spicy,0.542,0.375,0.083,96.2,True,False,False,True,moderate_density
Mutton Biryani,Non-Veg,330.0,25.0,35.0,20.0,3.0,6.0,850.0,420.0,8.0,55.0,20.0,True,South,Dum,Spicy,0.312,0.25,0.437,91.1,False,False,False,True,moderate_density
Hyderabadi Biryani,Non-Veg,340.0,27.0,36.0,19.0,2.0,5.0,880.0,440.0,9.0,58.0,22.0,True,South,Dum,Spicy,0.329,0.232,0.439,95.0,False,False,False,True,moderate_density
Kolkata Biryani,Non-Veg,310.0,24.0,38.0,16.0,4.0,8.0,780.0,380.0,12.0,45.0,18.0,True,East,Dum,Mild,0.308,0.205,0.487,94.6,False,False,False,True,moderate_density
Lucknowi Biryani,Non-Veg,320.0,26.0,37.0,17.0,3.0,6.0,820.0,400.0,10.0,52.0,19.0,True,North,Dum,Mild,0.325,0.212,0.462,97.8,False,False,False,True,moderate_density
Keema,Veg,240.0,20.0,8.0,16.0,3.0,4.0,680.0,320.0,6.0,40.0,15.0,True,North,Sauté,Medium,0.455,0.364,0.182,85.4,True,False,False,True,moderate_density
Seekh Kebab,Non-Veg,260.0,24.0,3.0,18.0,1.0,2.0,750.0,360.0,8.0,38.0,18.0,True,North,Grill,Spicy,0.533,0.4,0.067,89.1,True,False,False,True,moderate_density
Shami Kebab,Non-Veg,250.0,22.0,6.0,16.0,2.0,3.0,720.0,340.0,10.0,45.0,16.0,True,North,Shallow Fry,Medium,0.5,0.364,0.136,88.8,True,False,False,True,moderate_density
Galouti Kebab,Non-Veg,280.0,23.0,4.0,22.0,1.0,2.0,780.0,380.0,5.0,35.0,20.0,True,North,Grill,Medium,0.469,0.449,0.082,81.2,True,False,False,True,moderate_density
Reshmi Kebab,Non-Veg,270.0,26.0,2.0,20.0,0.0,1.0,680.0,420.0,3.0,42.0,22.0,True,North,Grill,Mild,0.542,0.417,0.042,89.8,True,False,False,True,moderate_density
Chicken Korma,Non-Veg,290.0,28.0,6.0,22.0,2.0,3.0,820.0,360.0,12.0,48.0,25.0,True,North,Simmer,Mild,0.5,0.393,0.107,100.0,True,False,False,True,moderate_density
Navratan Korma,Veg,200.0,6.0,18.0,16.0,5.0,12.0,480.0,220.0,20.0,65.0,15.0,True,North,Simmer,Mild,0.15,0.4,0.45,42.2,False,False,True,False,moderate_density
Malai Kofta,Veg,240.0,8.0,20.0,18.0,4.0,8.0,520.0,180.0,15.0,55.0,12.0,True,North,Deep Fry,Mild,0.174,0.391,0.435,47.8,False,False,False,False,moderate_density
Shahi Paneer,Veg,280.0,14.0,12.0,22.0,3.0,6.0,560.0,240.0,18.0,220.0,18.0,True,North,Simmer,Mild,0.292,0.458,0.25,61.0,False,False,False,True,moderate_density
Kadai Paneer,Veg,260.0,16.0,10.0,20.0,4.0,5.0,620.0,280.0,25.0,180.0,20.0,True,North,Sauté,Medium,0.348,0.435,0.217,76.8,True,False,False,True,moderate_density
Matar Paneer,Veg,240.0,15.0,14.0,18.0,5.0,6.0,580.0,260.0,20.0,165.0,16.0,True,North,Simmer,Medium,0.319,0.383,0.298,78.2,False,False,False,True,moderate_density
Palak Chicken,Non-Veg,260.0,29.0,8.0,16.0,4.0,3.0,640.0,380.0,35.0,55.0,22.0,True,North,Sauté,Medium,0.547,0.302,0.151,100.0,True,False,False,True,moderate_density
Chicken Chettinad,Non-Veg,280.0,31.0,7.0,18.0,3.0,2.0,980.0,420.0,18.0,45.0,28.0,True,South,Curry,Spicy,0.554,0.321,0.125,100.0,True,False,False,True,moderate_density
Andhra Chicken,Non-Veg,290.0,30.0,8.0,19.0,2.0,3.0,1050.0,440.0,15.0,42.0,25.0,True,South,Curry,Spicy,0.526,0.333,0.14,100.0,True,False,False,True,moderate_density
Chicken 65,Non-Veg,300.0,28.0,9.0,20.0,1.0,4.0,920.0,380.0,12.0,38.0,24.0,True,South,Deep Fry,Spicy,0.491,0.351,0.158,94.2,True,False,False,True,moderate_density
Chili Chicken,Non-Veg,270.0,26.0,12.0,16.0,2.0,8.0,780.0,360.0,45.0,48.0,20.0,True,North,Sauté,Spicy,0.481,0.296,0.222,97.2,False,False,False,True,moderate_density
Chicken Manchurian,Non-Veg,280.0,25.0,14.0,18.0,3.0,10.0,820.0,340.0,35.0,42.0,22.0,True,North,Deep Fry,Spicy,0.439,0.316,0.246,90.8,False,False,False,True,moderate_density
Gobi Manchurian,Veg,220.0,6.0,20.0,16.0,5.0,12.0,680.0,180.0,40.0,35.0,15.0,True,North,Deep Fry,Spicy,0.143,0.381,0.476,44.2,False,False,False,False,moderate_density
Paneer Manchurian,Veg,260.0,16.0,16.0,20.0,4.0,10.0,720.0,220.0,25.0,165.0,18.0,True,North,Deep Fry,Spicy,0.308,0.385,0.308,65.8,False,False,False,True,moderate_density
Spring Roll,Snacks,200.0,8.0,24.0,12.0,3.0,6.0,580.0,140.0,15.0,25.0,12.0,True,North,Deep Fry,Mild,0.182,0.273,0.545,52.2,False,False,True,False,moderate_density
Momos,Snacks,180.0,12.0,20.0,8.0,2.0,3.0,520.0,220.0,8.0,35.0,15.0,True,North,Steam,Mild,0.3,0.2,0.5,68.4,True,False,True,True,moderate_density
Thukpa,Snacks,120.0,8.0,16.0,4.0,2.0,2.0,480.0,180.0,12.0,25.0,8.0,True,North,Simmer,Mild,0.286,0.143,0.571,63.6,True,False,True,False,low_density
Chowmein,Veg,220.0,8.0,28.0,14.0,4.0,6.0,620.0,160.0,18.0,30.0,12.0,True,North,Sauté,Medium,0.16,0.28,0.56,55.4,False,False,False,False,moderate_density
Fried Rice,Veg,240.0,10.0,32.0,12.0,3.0,4.0,580.0,140.0,12.0,28.0,14.0,True,North,Sauté,Medium,0.185,0.222,0.593,61.6,False,False,False,False,moderate_density
Schezwan Rice,Veg,260.0,9.0,30.0,16.0,3.0,8.0,780.0,150.0,25.0,32.0,16.0,True,North,Sauté,Spicy,0.164,0.291,0.545,47.2,False,False,False,False,moderate_density
Chicken Fried Rice,Non-Veg,280.0,18.0,30.0,14.0,2.0,4.0,650.0,180.0,15.0,35.0,18.0,True,North,Sauté,Medium,0.29,0.226,0.484,78.5,False,False,False,True,moderate_density
Egg Fried Rice,Non-Veg,250.0,14.0,32.0,12.0,3.0,5.0,600.0,160.0,8.0,38.0,16.0,True,North,Sauté,Medium,0.241,0.207,0.552,70.6,False,False,False,True,moderate_density
